nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
33,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.SGD,21,1.2830425786196915,0.388906397730854,"[0.09786, 0.36879, 0.68352, 0.90586, 0.10027]","[0.52459, 0.15522, 0.36658, 0.41455, 0.71338]","[0.16495, 0.21849, 0.47722, 0.5688, 0.17582]","[122, 335, 1143, 1416, 157]"
34,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.Adam,18,1.2712374287469506,0.3501418216199181,"[0.09259, 0.39865, 0.85915, 0.9232, 0.08652]","[0.4918, 0.17612, 0.26684, 0.39901, 0.77707]","[0.15584, 0.24431, 0.40721, 0.5572, 0.15571]","[122, 335, 1143, 1416, 157]"
35,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.SGD,57,1.3523998726911075,0.3495115033091711,"[0.0776, 0.30325, 0.75321, 0.86756, 0.08333]","[0.43443, 0.25075, 0.25634, 0.41172, 0.61146]","[0.13168, 0.27451, 0.38251, 0.55843, 0.14668]","[122, 335, 1143, 1416, 157]"
36,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.Adam,15,1.242814207357676,0.3841790104002521,"[0.09793, 0.24757, 0.72202, 0.91796, 0.09951]","[0.42623, 0.15224, 0.34996, 0.41879, 0.78344]","[0.15926, 0.18854, 0.47142, 0.57517, 0.1766]","[122, 335, 1143, 1416, 157]"
37,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,0.01,torch.optim.SGD,23,1.264037865827971,0.3618027103687362,"[0.1024, 0.30769, 0.81704, 0.95387, 0.08834]","[0.52459, 0.1791, 0.28521, 0.4089, 0.75796]","[0.17135, 0.22642, 0.42283, 0.57242, 0.15824]","[122, 335, 1143, 1416, 157]"
38,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,0.01,torch.optim.Adam,12,1.2890805527901967,0.372518121651434,"[0.10627, 0.25833, 0.74893, 0.91693, 0.0996]","[0.5, 0.18507, 0.30534, 0.41314, 0.79618]","[0.17529, 0.21565, 0.43381, 0.56962, 0.17705]","[122, 335, 1143, 1416, 157]"
39,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,0.001,torch.optim.SGD,37,1.2855578834032264,0.3816577371572644,"[0.10282, 0.23136, 0.75709, 0.92868, 0.09458]","[0.41803, 0.26866, 0.32721, 0.41384, 0.70064]","[0.16505, 0.24862, 0.45693, 0.57255, 0.16667]","[122, 335, 1143, 1416, 157]"
40,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,0.001,torch.optim.Adam,19,1.248335239398105,0.3778758272927828,"[0.08815, 0.2362, 0.74606, 0.95074, 0.09923]","[0.5, 0.22985, 0.33158, 0.4089, 0.65605]","[0.14988, 0.23298, 0.45912, 0.57185, 0.17238]","[122, 335, 1143, 1416, 157]"
41,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,30,1.3519338476283669,0.3693665300976993,"[0.09267, 0.57647, 0.81265, 0.91718, 0.09588]","[0.7459, 0.14627, 0.29221, 0.42232, 0.63694]","[0.16486, 0.23333, 0.42986, 0.57834, 0.16667]","[122, 335, 1143, 1416, 157]"
42,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,36,1.3142991129459287,0.3621178695241097,"[0.10014, 0.32704, 0.82323, 0.90909, 0.07974]","[0.59836, 0.15522, 0.28521, 0.42373, 0.6242]","[0.17156, 0.21053, 0.42365, 0.57803, 0.14141]","[122, 335, 1143, 1416, 157]"
43,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,57,1.431839303585446,0.3328080680743775,"[0.08561, 0.34641, 0.79808, 0.84783, 0.08251]","[0.56557, 0.15821, 0.21785, 0.41314, 0.63694]","[0.14871, 0.21721, 0.34227, 0.55556, 0.14609]","[122, 335, 1143, 1416, 157]"
44,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,16,1.2778551847143558,0.3832335329341317,"[0.09832, 0.31081, 0.79054, 0.90103, 0.10481]","[0.72131, 0.20597, 0.30709, 0.43079, 0.6242]","[0.17306, 0.24776, 0.44234, 0.5829, 0.17949]","[122, 335, 1143, 1416, 157]"
45,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,True,0.01,torch.optim.SGD,17,1.3118357497346775,0.3706271667191932,"[0.1082, 0.41121, 0.78118, 0.93891, 0.09078]","[0.54098, 0.13134, 0.31234, 0.41243, 0.79618]","[0.18033, 0.1991, 0.44625, 0.57311, 0.16297]","[122, 335, 1143, 1416, 157]"
46,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,True,0.01,torch.optim.Adam,20,1.3350603801653524,0.3551843681058935,"[0.09878, 0.27753, 0.84699, 0.9359, 0.08089]","[0.53279, 0.18806, 0.27122, 0.41243, 0.66879]","[0.16667, 0.2242, 0.41087, 0.57255, 0.14433]","[122, 335, 1143, 1416, 157]"
47,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,True,0.001,torch.optim.SGD,27,1.335544053415012,0.3567601638827608,"[0.10217, 0.31902, 0.77241, 0.92951, 0.08415]","[0.54098, 0.15522, 0.29396, 0.40042, 0.70701]","[0.17188, 0.20884, 0.42586, 0.55972, 0.15041]","[122, 335, 1143, 1416, 157]"
48,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,True,0.001,torch.optim.Adam,16,1.2871862244312005,0.3624330286794831,"[0.10526, 0.82609, 0.87466, 0.94136, 0.08626]","[0.60656, 0.11343, 0.28084, 0.41949, 0.78344]","[0.17939, 0.19948, 0.42517, 0.58036, 0.1554]","[122, 335, 1143, 1416, 157]"
49,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.SGD,34,1.2656589230614392,0.3911125118184683,"[0.09279, 0.40136, 0.73761, 0.92901, 0.10142]","[0.69672, 0.17612, 0.35171, 0.42514, 0.59236]","[0.16378, 0.24481, 0.4763, 0.58333, 0.17318]","[122, 335, 1143, 1416, 157]"
50,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.Adam,18,1.3001335407586376,0.372518121651434,"[0.11429, 0.21558, 0.76577, 0.9341, 0.09451]","[0.36066, 0.35522, 0.29746, 0.40042, 0.71338]","[0.17357, 0.26832, 0.42848, 0.56055, 0.16692]","[122, 335, 1143, 1416, 157]"
51,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.SGD,89,1.3502285205195304,0.3463599117554365,"[0.08748, 0.32075, 0.79189, 0.8797, 0.08478]","[0.59016, 0.15224, 0.25634, 0.41314, 0.6242]","[0.15238, 0.20648, 0.38731, 0.56223, 0.14928]","[122, 335, 1143, 1416, 157]"
52,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.Adam,12,1.24490368640209,0.3829183737787582,"[0.09982, 0.24917, 0.81633, 0.91505, 0.09188]","[0.44262, 0.22388, 0.31496, 0.43362, 0.71338]","[0.1629, 0.23585, 0.45455, 0.5884, 0.16279]","[122, 335, 1143, 1416, 157]"
53,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,0.01,torch.optim.SGD,31,1.2556960908821346,0.3722029624960605,"[0.09277, 0.32365, 0.7669, 0.92427, 0.09617]","[0.55738, 0.23284, 0.28784, 0.42232, 0.6879]","[0.15906, 0.27083, 0.41858, 0.57974, 0.16875]","[122, 335, 1143, 1416, 157]"
54,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,0.01,torch.optim.Adam,19,1.2934638486314782,0.3699968484084462,"[0.10075, 0.25387, 0.87781, 0.83611, 0.09165]","[0.44262, 0.24478, 0.23885, 0.46116, 0.71338]","[0.16413, 0.24924, 0.37552, 0.59445, 0.16244]","[122, 335, 1143, 1416, 157]"
55,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,0.001,torch.optim.SGD,27,1.2916858918597345,0.3810274188465175,"[0.10048, 0.33333, 0.77419, 0.90597, 0.09256]","[0.51639, 0.2, 0.31496, 0.42867, 0.71338]","[0.16822, 0.25, 0.44776, 0.58198, 0.16386]","[122, 335, 1143, 1416, 157]"
56,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,0.001,torch.optim.Adam,15,1.2566678911581168,0.3803971005357706,"[0.10617, 0.22459, 0.68241, 0.96078, 0.09487]","[0.35246, 0.28358, 0.36658, 0.38065, 0.70701]","[0.16319, 0.25066, 0.47695, 0.54527, 0.16729]","[122, 335, 1143, 1416, 157]"
57,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.SGD,24,1.346564450338817,0.371887803340687,"[0.09375, 0.375, 0.76368, 0.91091, 0.09878]","[0.54098, 0.15224, 0.30534, 0.41879, 0.7707]","[0.15981, 0.21656, 0.43625, 0.57378, 0.17511]","[122, 335, 1143, 1416, 157]"
58,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.Adam,21,1.2999894307600544,0.3435234793570753,"[0.10454, 0.335, 0.77283, 0.97328, 0.08581]","[0.43443, 0.2, 0.28871, 0.36017, 0.82803]","[0.16852, 0.25047, 0.42038, 0.52577, 0.1555]","[122, 335, 1143, 1416, 157]"
59,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.SGD,68,1.419450954605111,0.3432083202017018,"[0.0727, 0.30618, 0.81818, 0.83081, 0.08186]","[0.36885, 0.32537, 0.20472, 0.42655, 0.61783]","[0.12146, 0.31548, 0.3275, 0.5637, 0.14456]","[122, 335, 1143, 1416, 157]"
60,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.Adam,31,1.2597118830600662,0.376615190671289,"[0.10526, 0.4881, 0.77189, 0.94184, 0.0932]","[0.54098, 0.12239, 0.33158, 0.41172, 0.80255]","[0.17623, 0.1957, 0.46389, 0.57297, 0.167]","[122, 335, 1143, 1416, 157]"
61,500,3,1,8,32,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,True,0.01,torch.optim.SGD,24,1.3051592917453012,0.3627481878348566,"[0.08826, 0.42056, 0.85302, 0.95447, 0.09913]","[0.7459, 0.13433, 0.28434, 0.41455, 0.65605]","[0.15785, 0.20362, 0.42651, 0.57804, 0.17224]","[122, 335, 1143, 1416, 157]"
