size,samples,C,gamma,loss_ensemble
2632.0,6.0,1.0,10.0,0.6578815261044177
2632.0,6.0,1.0,100.0,0.6576305220883534
2632.0,6.0,10.0,0.1,0.634789156626506
2632.0,6.0,10.0,1.0,0.6483433734939759
2632.0,6.0,10.0,10.0,0.6792168674698795
2632.0,6.0,10.0,100.0,0.6651606425702812
2632.0,6.0,100.0,0.1,0.6438253012048193
2632.0,6.0,100.0,1.0,0.6573795180722892
2632.0,6.0,100.0,10.0,0.7612951807228916
2632.0,6.0,100.0,100.0,0.6616465863453815
3159.0,5.0,0.1,0.1,0.6199799196787148
3159.0,5.0,0.1,1.0,0.6538654618473896
3159.0,5.0,0.1,10.0,0.6383032128514057
3159.0,5.0,0.1,100.0,0.6501004016064257
3159.0,5.0,1.0,0.1,0.6212349397590362
3159.0,5.0,1.0,1.0,0.6219879518072289
3159.0,5.0,1.0,10.0,0.6671686746987953
3159.0,5.0,1.0,100.0,0.6588855421686747
3159.0,5.0,10.0,0.1,0.6197289156626506
3159.0,5.0,10.0,1.0,0.6247489959839357
3159.0,5.0,10.0,10.0,0.677710843373494
3159.0,5.0,10.0,100.0,0.6691767068273092
3159.0,5.0,100.0,0.1,0.6202309236947792
3159.0,5.0,100.0,1.0,0.6255020080321285
3159.0,5.0,100.0,10.0,0.6691767068273092
3159.0,5.0,100.0,100.0,0.6659136546184738
3949.0,4.0,0.1,0.1,0.6069277108433735
3949.0,4.0,0.1,1.0,0.6096887550200802
3949.0,4.0,0.1,10.0,0.6403112449799198
3949.0,4.0,0.1,100.0,0.6498493975903614
3949.0,4.0,1.0,0.1,0.6054216867469879
3949.0,4.0,1.0,1.0,0.6081827309236948
3949.0,4.0,1.0,10.0,0.6506024096385542
3949.0,4.0,1.0,100.0,0.6460843373493976
3949.0,4.0,10.0,0.1,0.606425702811245
3949.0,4.0,10.0,1.0,0.6116967871485943
3949.0,4.0,10.0,10.0,0.6546184738955823
3949.0,4.0,10.0,100.0,0.6573795180722892
3949.0,4.0,100.0,0.1,0.606425702811245
3949.0,4.0,100.0,1.0,0.6255020080321285
3949.0,4.0,100.0,10.0,0.6581325301204819
3949.0,4.0,100.0,100.0,0.652359437751004
5265.0,3.0,0.1,0.1,0.5843373493975903
5265.0,3.0,0.1,1.0,0.5918674698795181
5265.0,3.0,0.1,10.0,0.6398092369477912
