size,samples,n_estimators,criterion,bootstrap,class_weight,loss_ensemble
5265,3,10,entropy,True,balanced,0.5564759036144578
5265,3,10,entropy,True,balanced_subsample,0.5557228915662651
5265,3,10,entropy,False,balanced,0.5625
5265,3,10,entropy,False,balanced_subsample,0.5625
5265,3,40,gini,True,balanced,0.5476907630522088
5265,3,40,gini,True,balanced_subsample,0.5466867469879518
5265,3,40,gini,False,balanced,0.5522088353413654
5265,3,40,gini,False,balanced_subsample,0.5522088353413654
5265,3,40,entropy,True,balanced,0.5489457831325302
5265,3,40,entropy,True,balanced_subsample,0.5474397590361446
5265,3,40,entropy,False,balanced,0.553714859437751
5265,3,40,entropy,False,balanced_subsample,0.553714859437751
5265,3,70,gini,True,balanced,0.5461847389558233
5265,3,70,gini,True,balanced_subsample,0.5471887550200802
5265,3,70,gini,False,balanced,0.553714859437751
5265,3,70,gini,False,balanced_subsample,0.553714859437751
5265,3,70,entropy,True,balanced,0.5464357429718876
5265,3,70,entropy,True,balanced_subsample,0.5507028112449799
5265,3,70,entropy,False,balanced,0.5514558232931727
5265,3,70,entropy,False,balanced_subsample,0.5514558232931727
5265,3,90,gini,True,balanced,0.5456827309236948
5265,3,90,gini,True,balanced_subsample,0.5471887550200802
5265,3,90,gini,False,balanced,0.5519578313253012
5265,3,90,gini,False,balanced_subsample,0.5519578313253012
5265,3,90,entropy,True,balanced,0.544929718875502
5265,3,90,entropy,True,balanced_subsample,0.5502008032128514
5265,3,90,entropy,False,balanced,0.5512048192771084
5265,3,90,entropy,False,balanced_subsample,0.5512048192771084
7898,2,10,gini,True,balanced,0.554718875502008
7898,2,10,gini,True,balanced_subsample,0.5572289156626506
7898,2,10,gini,False,balanced,0.5502008032128514
7898,2,10,gini,False,balanced_subsample,0.5502008032128514
7898,2,10,entropy,True,balanced,0.5484437751004017
7898,2,10,entropy,True,balanced_subsample,0.5572289156626506
7898,2,10,entropy,False,balanced,0.5577309236947792
7898,2,10,entropy,False,balanced_subsample,0.5577309236947792
7898,2,40,gini,True,balanced,0.5348895582329317
7898,2,40,gini,True,balanced_subsample,0.5346385542168675
7898,2,40,gini,False,balanced,0.5419176706827309
7898,2,40,gini,False,balanced_subsample,0.5419176706827309
7898,2,40,entropy,True,balanced,0.5386546184738956
7898,2,40,entropy,True,balanced_subsample,0.5341365461847389
7898,2,40,entropy,False,balanced,0.5373995983935743
7898,2,40,entropy,False,balanced_subsample,0.5373995983935743
7898,2,70,gini,True,balanced,0.5328815261044177
7898,2,70,gini,True,balanced_subsample,0.5341365461847389
7898,2,70,gini,False,balanced,0.5399096385542168
7898,2,70,gini,False,balanced_subsample,0.5399096385542168
7898,2,70,entropy,True,balanced,0.5371485943775101
7898,2,70,entropy,True,balanced_subsample,0.5306224899598393
7898,2,70,entropy,False,balanced,0.5381526104417671
7898,2,70,entropy,False,balanced_subsample,0.5381526104417671
7898,2,90,gini,True,balanced,0.5298694779116466
7898,2,90,gini,True,balanced_subsample,0.5326305220883534
7898,2,90,gini,False,balanced,0.5386546184738956
7898,2,90,gini,False,balanced_subsample,0.5386546184738956
7898,2,90,entropy,True,balanced,0.5343875502008032
7898,2,90,entropy,True,balanced_subsample,0.5318775100401607
7898,2,90,entropy,False,balanced,0.5346385542168675
7898,2,90,entropy,False,balanced_subsample,0.5346385542168675
15797,1,10,gini,True,balanced,0.5183232931726908
15797,1,10,gini,True,balanced_subsample,0.5215863453815262
15797,1,10,gini,False,balanced,0.5306224899598393
15797,1,10,gini,False,balanced_subsample,0.5306224899598393
